Longitude,Latitude,Carbon_biomass
39.7,-69,0.254843643
44,-64.2,0.055051433
45,-63.7,0.088603018
-115.3,-56.9,0.978017492
-85,-69.7,0.093780357
-85,-68,0.312031823
-64.5,-64.5,8.60843534
-65.2,-64,0.845190339
-63.2,-64,102.2075903
-61.8,-63.8,0.031622022
-61.3,-63.6,0.389973001
-63.5,-63.6,0.718395743
-62,-63.6,0.73403967
-65.7,-63.6,2.359467461
-54.2,-63.4,0.397757742
-61,-63.4,0.605598311
-59.8,-63.4,1.030781634
-63.7,-63.2,1.071654456
-62.6,-63.2,1.086587726
-60,-63.2,1.961939607
-58.7,-63.2,13.95763766
-66,-63.2,19.97051045
-59,-63,1.232168359
-61,-63,1.382869721
-64,-63,1.54853497
-60,-63,1.741843045
-60.8,-62.8,0.220892332
-56,-62.8,0.597197302
-62.6,-62.8,0.922619578
-59,-62.8,1.349759746
-60.3,-62.8,1.429856702
-52.5,-62.8,1.588467592
-54.2,-62.6,0.040734383
-54.2,-62.4,0.044911127
-59.5,-62.4,1.309060408
-61.3,-62.4,3.082170811
-61.5,-62.1,2.989975346
-63,-62.1,9.658400696
-50,-62,1.010453405
-56,-62,11.42764964
-58,-61.7,2.508570336
-58,-61.4,4.397471248
-63.7,-61.3,5.404502773
-45.5,-61.2,0.069058609
-54.1,-61.1,44.30575693
-44,-61,0.259338555
-47,-61,0.366787473
-51.5,-61,0.519292472
-62.5,-61,5.738100514
-64,-61,8.594873838
-49,-60.8,0.189061001
-58.7,-60.8,10.178762
-54.2,-60.5,27.43121794
-46,-60.4,0.134720971
-59,-60.4,2.506397755
-54.3,-60,11.37914
5.9955,-64.95866667,1.307059079
5.940166667,-61.02283333,0.886949435
5.974666667,-59.99466667,0.084578538
6.016333333,-59.333,0.858555685
-170,-63,1.837382319
-170,-60,2.051421396
-170,-56.5,0.615794754
-174.8,-53.2,1.26779294
175,-72,1.013210017
175,-72,0.331622328
175,-68,0.378533083
175,-68,0.236691956
165,-66.5,0.157214654
170,-63,0.63643265
-117.172,-73.932,0.789264318
-117.173,-72.43,0.199425373
-113.965,-70.917,0.286689251
-111.62,-70.717,0.477839147
-178.397,-65.38,1.121414553
-171.072,-64.593,0.32401023
