Longitude,Latitude,Chl a Dec-Mar
-134.5,-40,0.09154
-137.5,-40,0.09215
-135.5,-40,0.09234
-126.5,-40,0.09242
-103.5,-40,0.09242
-138.5,-40,0.09261
-125.5,-40,0.09281
-101.5,-40,0.09318
-107.5,-40,0.09332
-130.5,-40,0.09333
-136.5,-40,0.0934
-108.5,-40,0.0936
-100.5,-40,0.0936
-104.5,-40,0.09395
-138.5,-40.5,0.09415
-133.5,-40,0.09427
-102.5,-40,0.0943
-106.5,-40,0.09456
-158.5,-40,0.09466
-127.5,-40,0.09468
-139.5,-40,0.09489
-132.5,-40,0.09493
-131.5,-40,0.09499
-129.5,-40,0.09523
-112.5,-40,0.09526
-137.5,-40.5,0.09534
-101.5,-40.5,0.09539
-103.5,-40.5,0.09557
-99.5,-40,0.0958
-105.5,-40,0.09584
-107.5,-40.5,0.09611
-111.5,-40,0.09619
-113.5,-40,0.09625
-100.5,-40.5,0.09627
-110.5,-40,0.09638
-97.5,-40,0.09642
-131.5,-40.5,0.09654
-116.5,-40,0.09659
-135.5,-40.5,0.09668
-109.5,-40,0.09674
-139.5,-40.5,0.09675
-157.5,-40,0.09689
-143.5,-40,0.09691
-98.5,-40,0.09697
-134.5,-40.5,0.097
-102.5,-40.5,0.097
-144.5,-40,0.09707
-142.5,-40,0.09708
-108.5,-40.5,0.09709
-128.5,-40,0.09716
-148.5,-40,0.09727
-105.5,-40.5,0.09743
-136.5,-40.5,0.09745
-156.5,-40,0.09759
-130.5,-40.5,0.09762
-101.5,-41,0.09771
-104.5,-40.5,0.09778
-97.5,-40.5,0.0978
-91.5,-40,0.09789
-96.5,-40,0.09791
-114.5,-40,0.098
-100.5,-41,0.09808
-111.5,-40.5,0.09815
-95.5,-40,0.09815
-117.5,-40,0.09829
-112.5,-40.5,0.0984
-99.5,-40.5,0.09879
-113.5,-40.5,0.09882
-98.5,-40.5,0.09891
-138.5,-41,0.09912
-110.5,-40.5,0.09912
-155.5,-40,0.09947
-140.5,-40,0.0995
-106.5,-40.5,0.09964
-154.5,-40,0.09973
-103.5,-41,0.09974
-149.5,-40,0.09998
-96.5,-40.5,0.1
-124.5,-40,0.1002
-95.5,-40.5,0.1002
-147.5,-40,0.1003
-99.5,-41,0.1003
-90.5,-40,0.1004
-94.5,-40,0.1005
-141.5,-40,0.1006
-109.5,-40.5,0.1006
-93.5,-40,0.1007
-92.5,-40,0.1007
-152.5,-40,0.1008
-143.5,-40.5,0.1008
-129.5,-40.5,0.101
-102.5,-41,0.101
-98.5,-41,0.1011
-137.5,-41,0.1014
-115.5,-40,0.1014
-153.5,-40,0.1015
-90.5,-40.5,0.1016
-161.5,-40,0.1018
-125.5,-40.5,0.1018
-91.5,-40.5,0.1018
-140.5,-40.5,0.1019
-133.5,-40.5,0.1019
-134.5,-41,0.102
-105.5,-41,0.102
-139.5,-41,0.1021
-142.5,-40.5,0.1023
-135.5,-41,0.1023
-92.5,-40.5,0.1023
-107.5,-41,0.1024
-110.5,-41,0.1025
-104.5,-41,0.1025
-98.5,-41.5,0.1025
-132.5,-40.5,0.1026
-100.5,-41.5,0.1026
-94.5,-40.5,0.1026
-93.5,-40.5,0.1026
-145.5,-40,0.1027
-112.5,-41,0.1027
-97.5,-41,0.1029
-116.5,-40.5,0.103
-99.5,-41.5,0.103
-160.5,-40,0.1031
-136.5,-41,0.1031
-114.5,-40.5,0.1031
-95.5,-41,0.1031
-159.5,-40,0.1032
-130.5,-41,0.1032
-111.5,-41,0.1032
-96.5,-41,0.1032
-146.5,-40,0.1033
-150.5,-40,0.1035
-131.5,-41,0.1035
-89.5,-40,0.1035
-113.5,-41,0.1036
-142.5,-41,0.1038
-144.5,-40.5,0.1041
-108.5,-41,0.1041
-151.5,-40,0.1042
-123.5,-40,0.1042
-115.5,-40.5,0.1042
-96.5,-41.5,0.1042
-156.5,-40.5,0.1044
-101.5,-41.5,0.1044
-158.5,-40.5,0.1045
-126.5,-40.5,0.1046
-136.5,-41.5,0.1047
-88.5,-40,0.1047
-118.5,-40,0.105
-141.5,-40.5,0.1051
-138.5,-41.5,0.1051
-122.5,-40,0.1051
-97.5,-41.5,0.1051
-89.5,-40.5,0.1051
-143.5,-41,0.1052
-128.5,-40.5,0.1052
-100.5,-42,0.1055
-157.5,-40.5,0.1056
-106.5,-41,0.1056
-94.5,-41,0.1057
-148.5,-40.5,0.1059
-147.5,-40.5,0.1059
-104.5,-41.5,0.1059
-134.5,-41.5,0.1061
-119.5,-40,0.1061
-162.5,-40,0.1063
-140.5,-41,0.1063
-98.5,-42,0.1063
-99.5,-42,0.1064
-166.5,-40,0.1065
-93.5,-41,0.1065
-87.5,-40,0.1065
-120.5,-40,0.1066
-115.5,-41,0.1066
-124.5,-40.5,0.1067
-105.5,-41.5,0.1068
-92.5,-41,0.1068
-90.5,-41,0.1068
-120.5,-40.5,0.107
-107.5,-41.5,0.107
-99.5,-46.5,0.107
-165.5,-40,0.1071
-101.5,-42,0.1072
-96.5,-42.5,0.1073
-95.5,-41.5,0.1073
-137.5,-41.5,0.1074
-102.5,-41.5,0.1074
-109.5,-41,0.1075
-146.5,-40.5,0.1076
-142.5,-41.5,0.1076
-133.5,-41,0.1076
-103.5,-41.5,0.1078
-155.5,-40.5,0.1079
-117.5,-40.5,0.1079
-96.5,-42,0.1079
-92.5,-46,0.1079
-132.5,-41,0.108
-96.5,-43,0.108
-164.5,-40,0.1081
-93.5,-46.5,0.1081
-125.5,-41,0.1082
-98.5,-46.5,0.1083
-135.5,-41.5,0.1084
-121.5,-40,0.1084
-141.5,-41,0.1085
-127.5,-40.5,0.1085
-98.5,-46,0.1085
-98.5,-42.5,0.1085
-88.5,-40.5,0.1086
-131.5,-41.5,0.1087
-126.5,-41,0.1088
-92.5,-41.5,0.1089
-87.5,-46,0.1089
-97.5,-42,0.109
-139.5,-41.5,0.1091
-106.5,-41.5,0.1091
-93.5,-46,0.1091
-144.5,-41,0.1092
-95.5,-42,0.1092
-154.5,-40.5,0.1093
-116.5,-41,0.1093
-114.5,-41,0.1093
-110.5,-41.5,0.1093
-92.5,-46.5,0.1093
-91.5,-46,0.1093
-101.5,-42.5,0.1094
-99.5,-46,0.1094
-97.5,-46,0.1094
-95.5,-43,0.1094
-89.5,-47.5,0.1094
-99.5,-47,0.1095
-98.5,-47,0.1095
-97.5,-42.5,0.1097
-91.5,-41,0.1097
-118.5,-40.5,0.1099
-167.5,-40,0.11
-94.5,-41.5,0.11
-93.5,-41.5,0.11
-99.5,-42.5,0.1101
-90.5,-47.5,0.1101
-87.5,-46.5,0.1101
-140.5,-41.5,0.1102
-149.5,-40.5,0.1103
-106.5,-42,0.1103
-100.5,-46.5,0.1103
-95.5,-42.5,0.1103
-91.5,-46.5,0.1103
-133.5,-41.5,0.1104
-91.5,-45.5,0.1104
-146.5,-41,0.1106
-86.5,-41.5,0.1106
-86.5,-40,0.1106
-141.5,-41.5,0.1107
-102.5,-42,0.1107
-97.5,-43,0.1107
-92.5,-45.5,0.1107
-89.5,-48,0.1107
-87.5,-45.5,0.1107
-134.5,-42,0.1108
-98.5,-43,0.1108
-97.5,-46.5,0.1108
-90.5,-46.5,0.1108
-108.5,-41.5,0.1109
-133.5,-42,0.111
-100.5,-42.5,0.111
-91.5,-47,0.111
-86.5,-46.5,0.111
-98.5,-45.5,0.1111
-92.5,-42,0.1111
-87.5,-40.5,0.1111
-145.5,-40.5,0.1112
-96.5,-46,0.1112
-93.5,-47,0.1112
-129.5,-41,0.1113
-91.5,-45,0.1113
-111.5,-41.5,0.1114
-92.5,-47,0.1114
-85.5,-41,0.1114
-136.5,-42,0.1115
-90.5,-47,0.1115
-90.5,-45,0.1115
-121.5,-40.5,0.1116
-91.5,-41.5,0.1116
-90.5,-45.5,0.1116
-152.5,-40.5,0.1117
-124.5,-41,0.1117
-102.5,-43,0.1117
-120.5,-41,0.1118
-107.5,-42,0.1118
